,Title,Course,Task2.1,Post_text,Categories,Instr_text
0,Put the Essays in an e-book,amnhearth-002,1,"During the recent Human Evolution: Past and Present course it was announced that the best of the final essays would be put into an e-book for distribution. While I haven't seen this come out yet it is a great idea. There is so much effort put into studying personal localities across the world I think it would be a fascinating read. It would be a shame for all that information to be in an electronic form but still unreachable. Is this possible?
",resolves,
1,Need help with 'common sense' understanding of probability of earthquakes,amnhearth-002,1,,elaborates,
2,Quiz deadline confusion,amnhearth-002,1,"Today I discovered this course and decided to sign up. The Syllabus and Grading Policy page stated "" You can take each quiz as many times as youâd like. Quizzes will close two weeks after they open, and answers will be available at that time."" However when I went into the Quiz for week one it said the deadline was already past. I can understand having a strict deadline for the peer-reviewed assignment, but why does the page say there are two weeks for the quiz when there seems to be only one week? Or did the course start 2 weeks ago? Please clarify. 
I'd like to know too as I just did the quiz, got 9/10 but it doesn't count because it was 3 hours past the deadline, which I thought was much later on. 
I had same experience...no point in posting my results as it warned that deadline has passed.",resolves,"Hi, everyone. The information on the syllabus was incorrect and I've just changed it. Quizzes are due one week after they open, as indicated on the home page, emails, and individual quizzes. I apologize for the confusion that this has caused. Thanks for bringing this to our attention.Hello Ridwan, unfortunately the deadline for the quizzes cannot be extended. 
"
3,HELP--Anyone with good internet?,amnhearth-002,5,"Hi, I have spent the last three hours trying to download my geology assignment for week 1 (with pictures) to the forum but my internet is too slow for it to work. Does anyone have better internet? Would anyone be able to send me their e-mail address? Would anyone be willing to receive my geology assignment (I can e-mail it to you), and then you can upload it...? Thanks!! 
 I can try for you. When I uploaded mine, it was very tedious uploading pics, it was very sloooow. Did you try uploading text only on first go round, then adding pics after? Anyway my email is kelliec@pacbell.net, what is yours? 
 Hi Michaela It occurs to me that YOU may not be able to earn Signature Track credit for the course if the assignment is uploaded by ME under my user name. I'd still be willing to do it, but this is something to consider. I do know that the pics must be attached individually with the ""Pic"" button in the post box, you cannot upload them as part of another document. Good luck either way 
Hi,I couldn`t finish my geology assignment becouse I was on a trip out of my country.Can I put it on forum in a few next days?I hope the course staff wil give the answer or advice! Thank you.Sorry for bad grammar. 
Hi Branko...the forum is still open...I'm still trying to load pictures :) So I think you are okay....",resolves,
4,It is not my fault that your site can not with hold the load,amnhearth-002,1,Hi - I repeat my request. It is not the short videos that I have to see. It is the sources that you gave and the main video is 88 minutes. This lasted a few days because of internet load. I am new in this field and I have to study all the material that you ask to study. I am doing it around the clock. I enclose the result of my quiz and it is very disappointing that you cant delay the time of doing the quiz. Please check in other courses and you'll find that there are courses with no time limit. What does it mean to you that time is passed? Are doing something with the results of the quiz so early in the course? It is the same result if you delay the time out. In any case student who started late are losing the chance to certificate. This is not the best solution from marketing point of view. zvika greenberg Haifa Israel,resolves,
5,Can someone clarify the issue of sulfur esp as it appeared in the Quiz,amnhearth-002,1,"Can someone point me to a resource or send info re the question of sulfur and sulfur dioxide which appeared in Quiz 2 thanks 
It was discussed in this essay: Origin of Earth's Atmosphere - By Drs. Ed Mathez and Ro Kinzler https://class.coursera.org/amnhearth-002/wiki/view?page=origin_earth_atmosphere ""independent evidence suggests that much of the sulfur has been recycled from Earthâs surface back into the mantle, which would account for the lower amount of SO2 in the present surface reservoirs than in volcanic gases."" 
Elayne Here is a link to a science article about the process: http://www.sci-news.com/geology/article01037.html There is a link in the article to the study.",resolves,
6,This week it was not possible to cope with the material,amnhearth-002,1,Hi - I am trying to read and see all the material you are asking us to do. There was a video of 88 minutes. This video was not accessible. The internet pace could not hold the amount of students in this course and it took me hours to see all the video. The same happened with the other videos. This course work is too much. Assignment + Quiz. I am doing step by step and I came late to do the quiz. I think the course is wonderful and I'll try keep on although the conditions can't allow me to cope with the material. I'd like the management of this course to be more flexible about date of work. And give us a little more time space to fulfill the mission. You are dealing with billions of years and suddenly you are standing on the minute. To be a real geology man you have to be equipped with larger time scale. zvika greenberg Haifa Israel,social,
7,where to post the 2nd part of the assignment?,amnhearth-002,"1,2.","please direct me to the place to post the essay part of the assignment. Does it go along w the pictures? Do I repost my pictures or post the essay under the pictures? 
The Assignment link is on the left side toolbar. Click the Assignment button to open the submission page. Your material can be typed directly into the box or copied from a word processing program Include a like to your Assignment #1 Forum Post at the top of Assignment # 2. 
Typo ""link""...not like!",resolves,
8,The Mantle is not stable it has mental problems,amnhearth-002,1,"Hi - I played with some numbers. Please check me. I know the radius of earth = 6,400 km, frequency of rotation 1 rotation every 24 hours. From here I can calculate the earth acceleration because of rotation. R1=6,400 km =6.4*10^(6) m, f1=1 cycles/24 hours. acceleration = a = R1*W1^2 W1=2*Pi*f1 f1=1/24*3,600=1/86,400 = 1.16*10^(-5) 1/sec W1= 1.16*10^(-5) 1/sec*6.28=8.45*10^(-5) 1/sec W1^2=(8.45*10^(-5) 1/sec)^2=71*10^(-10) 1/(sec^2) a1=(6.4*10^(6) m)*(71*10^(-10) 1/(sec^2))=454*10^(-4)m/(sec^2) I know the radius of earth orbit = 150 *10^6 km=150*10^9 m frequency of rotation 1 rotation every 365 days from here I can calculate the earth orbit acceleration = 54*10^(-4)(m/(sec^2) OK Now I can see that on the poles there is only the orbit acceleration. In the equator inner side close to the sun there is 454-54=400 *10^(-4)(m/(sec^2) In the equator outer side apart from the sun there is 454+54=108*10^(-4)(m/(sec^2) OK Now look what is happening - On the poles there is a vertical gravitational force of 9.8 m/(sec^2) but perpendicular to this force there is the orbit acceleration at 54*10^(-4)(m/(sec^2) If you combine this 2 vectors you get a shift which is away from the sun. It means that if you drop a body on the poles it does not fall vertical but a little shift away from the sun. The rest calculation on the equator is obvious. Why that calculation for? Now think what will happen to miserable mantle flow who is looking for the poles - will he miss the target? This mantle will be very unstable and confused. zvika greenberg Haifa Israel",elaborates,
9,Student Misconceptions - Lecture 3.7 - The Mantle is not Liquid,amnhearth-002,1,"Hi - I am one of those who thought that the mantle is really liquid. It is because I thought that there is a volcano eruption what comes out of it is liquid magma. I thought that it comes from the mantle therefore the mantle it liquid. Now I have to understand that it comes from deeper places on earth. If mantle is not liquid - how do you differentiate between crust and mantle? zvika greenberg Haifa Israel
",resolves,
